task_id,expected_mode,routed_mode,e2e_success,terminal_failure,evidence_role,failure_stage,failure_kind,failure_signature,last_action_family,stop_reason,patch_rejections
expanded_optimize_03,OPTIMIZE,OPTIMIZE,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,COMPILE_ERROR,3e237e7afd6f1b560e9b4fa22f15269404f38bc6bc7ac2a00d34ab3d2b2e3b8f,UNIFIED_DIFF_COORDINATE_RECOVERY,BASELINE_FINALIZED_NO_IMPROVEMENT,4
expanded_repair_01,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,8d02cfa4ea5760989e02b64b79cfec7777adedc3b8e368584e033ec15884d6f7,ARITHMETIC_FIX,REPAIR_FINALIZED,0
expanded_repair_02,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,cac4ba110fdda826b07de1c604287988e6618bda8630d81ff9ae8a95f624744a,LOOP_BOUND_FIX,REPAIR_FINALIZED,0
expanded_repair_03,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,0d71fc6562e4187ac8a76641f36c37166a70e47f448e7023d6d6879405fd888a,FIR_COEFFICIENT_FIX,REPAIR_FINALIZED,0
expanded_repair_04,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,07c660b64a3b84b8fe14a58f29ae647431e2b6d56e55f78970698d3b01389ae7,INITIALIZE_ACCUMULATOR,REPAIR_FINALIZED,0
expanded_repair_05,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,6080e47f6cf849b835a6a46582763d6e68ddde988f06238754e51963b5790bbf,INDEX_FIX,REPAIR_FINALIZED,0
expanded_structural_01,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
expanded_structural_02,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,1
expanded_structural_03,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
expanded_structural_04,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
expanded_structural_05,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,8e1aae56f1635015be8e3c909584b1667d4cb32fa32d4a092f45b81a66d17467,STREAM_BALANCE_FIX,REPAIR_FINALIZED,0
expanded_structural_06,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,TIMEOUT,e56184bf605903e3418a007091c63f48e4112d31fe5751542f1872bf47fe9260,DATAFLOW_TOPOLOGY_OR_ORDER,STRUCTURAL_FIX_FINALIZED,0
expanded_synth_01,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,08c56171016382017068962a5cc8ee9d5508938907bf6bd0b564c35d59e4cb86,REPLACE_DYNAMIC_ALLOCATION_WITH_STATIC_ARRAY,SYNTH_FIX_FINALIZED,0
expanded_synth_02,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,1eae58503107334987adbc30eb8ea2cac000d1e50e2bea5a599c02154c758dda,REWRITE_RECURSIVE_FUNCTION,SYNTH_FIX_FINALIZED,0
expanded_synth_03,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,601462e9e5ac2b6a3faf88780fc69e1bc4e66a6d46ed6de3f496d107662b4cbc,REPLACE_DYNAMIC_ALLOCATION_WITH_STATIC_ARRAY,SYNTH_FIX_FINALIZED,0
expanded_synth_04,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,6246a0b0c5a2943205cea37527e7dd3e36b27f2e19fa545db7358efc73540e78,INLINE_LAMBDA,SYNTH_FIX_FINALIZED,0
v3d_fast_001,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,f077cac1b5c6ef681cc4f21d93af81a1b8efde4254a77753a21834ae61db951b,LOOP_BOUND_FIX,REPAIR_FINALIZED,0
v3d_fast_002,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,88dc6ec123f84df343507de890c885c7cf358c71869333c4a52c523ba5943dce,ARITHMETIC_FIX,REPAIR_FINALIZED,0
v3d_fast_003,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,4c5905f070e37c830f274a48c78219ad339329d6de6c48ec6eadd4bdbb55b69f,ARITHMETIC_FIX,REPAIR_FINALIZED,0
v3d_fast_004,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,3c1b3a10929c71e4d60d5b26e6ce53d0539ae4ce98a06e66d1439a99675a8a56,FUNCTIONAL_REPAIR,REPAIR_FINALIZED,0
v3d_fast_005,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,c1bcbc06d08439e5beed8ffcd65107f405a83e4e354438df9a98e4442de723cd,FIX_OFF_BY_ONE_IN_PREFIX_SUM,REPAIR_FINALIZED,0
v3d_fast_006,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,459165b8a9f0b530b2252f499e2084bbe3acfbb7c2633d80fb23ba8369c1696b,FIX_OFF_BY_ONE_CONDITION,REPAIR_FINALIZED,0
v3d_fast_007,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,888b263685f40fe00329f8979ff213ffd13a43662dacf9a5ce97d2bdda854484,REMOVE_BITMASK,REPAIR_FINALIZED,0
