record_id,mode,subtype,strategies,algorithm_family,task_family_hash,difficulty,outcome,provider,toolchain,prompt_version,cosim_status
02fe3922d876ac0c2665bf3b87f04a28f33155ab6b2589d10a447c506a411b24,OPTIMIZE,HIGH_TRANSACTION_LATENCY_WITH_II_ONE,PARALLEL_REDUCTION,REDUCTION,5ded6fb620d2046b7cbf25acca8ce6234a954d419530b645454fbb4562e74b3e,2,NO_IMPROVEMENT,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:915f6f9bc8138cdd225a4ac2f5bec40e1934d6c0f47657469fd058d4b8348c7d,NOT_RUN
071f94a4a393bde95ffdd527637c78fc64c9ab7b67980615d79e83bb9b1b032f,REPAIR,OFF_BY_ONE,FIX_LOOP_BOUND,VECTOR_ELEMENTWISE,f027d3351bfa35db4cc800b8fb3f429de7e689d80eb0014dd70f940951cd5700,1,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:4436ef91e48f7c1fa821728ba90be7085a4e8885b67af8e08aa9bc92e47681d2,PASS
0732f278a633f78b32ed4e4f25f79ad7feaa3de54d475524ffc42724184ffe5f,REPAIR,WRONG_COEFFICIENT,FIX_COEFFICIENT,VECTOR_ELEMENTWISE,f027d3351bfa35db4cc800b8fb3f429de7e689d80eb0014dd70f940951cd5700,1,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:4436ef91e48f7c1fa821728ba90be7085a4e8885b67af8e08aa9bc92e47681d2,PASS
0c58a296f864c30f79cd934cc1ffca86f1ae0087faced9bde5617eb40257545f,REPAIR,WRONG_COEFFICIENT,FIX_COEFFICIENT,VECTOR_ELEMENTWISE,f027d3351bfa35db4cc800b8fb3f429de7e689d80eb0014dd70f940951cd5700,1,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:4436ef91e48f7c1fa821728ba90be7085a4e8885b67af8e08aa9bc92e47681d2,PASS
0f89fd3dd91f994ee9aaee60f4f34319fa4ba97f59ebff11923e3d513acfdb9b,SYNTH_FIX,SYNTHESIS_ERROR_OTHER,OTHER_SYNTHESIS_REPAIR,OTHER,b3001054cd233f26f9dc79f381c424bff1632a78978b5f8ea7a5fbb7a5312cca,3,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:9bd03053105f809e369faa905baaa993074f574b95a1c548dbbbcf830cd7cb7e,PASS
10c467a777b928512652c328d93a3c21f051f83c5a5e3035dc94b40de3a86c99,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,LOOP_UNROLL+ARRAY_PARTITION+MEMORY_BANKING,REDUCTION,5ded6fb620d2046b7cbf25acca8ce6234a954d419530b645454fbb4562e74b3e,2,SUCCESS,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:915f6f9bc8138cdd225a4ac2f5bec40e1934d6c0f47657469fd058d4b8348c7d,PASS
122348e87e3f80f5e4bf718d65bd6148f7790c089886dc28f21ab6cddedbcbf7,OPTIMIZE,HIGH_TRANSACTION_LATENCY_WITH_II_ONE,LOOP_UNROLL+PARALLEL_REDUCTION+ARRAY_PARTITION,DOT_PRODUCT,517ceee8c6c0c646bd9055a2815aafadb6d0bd5e2eb1e6ef5f309661112aa95c,3,FAILURE,UNKNOWN,Vitis 2025.2,UNKNOWN,NOT_RUN
190ba280ed8f819a31ae35d5db705158d271d3169a1193a90233c8fb3c5567d3,STRUCTURAL_FIX,STRUCTURAL_ERROR_OTHER,OTHER_STRUCTURAL_REPAIR,STREAM_PIPELINE,a2dc758c175f550f615767d005e68e12ff03785bc24321e96b46eb3b99a82884,4,SUCCESS,UNKNOWN,Vitis 2025.2,UNKNOWN,PASS
194b81ecb1eda687ca39be2f41580c7805ad0e0587be901e96bc3e5cc6450cad,SYNTH_FIX,SYNTHESIS_ERROR_OTHER,OTHER_SYNTHESIS_REPAIR,VECTOR_ELEMENTWISE,50866fb810c75cd5c9537a395b3f4ad05b4af48be9b83086f1bc543710a4f012,3,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:4436ef91e48f7c1fa821728ba90be7085a4e8885b67af8e08aa9bc92e47681d2,PASS
1af9bd192a3d068e8224cd0abf37d0b0a1712e840f4746894bd15b9ed6b0d87e,STRUCTURAL_FIX,STRUCTURAL_ERROR_OTHER,OTHER_STRUCTURAL_REPAIR,STREAM_PIPELINE,a2dc758c175f550f615767d005e68e12ff03785bc24321e96b46eb3b99a82884,4,SUCCESS,UNKNOWN,Vitis 2025.2,UNKNOWN,PASS
