arm,experience_mode,validation_profile,seed_sha256,task_id,model,repeat_index,attempt_index,run_id,attempt_status,final_success,failure_stage,stop_reason,tokens,credits,wall_time_seconds,patch_rejections,csim_failures,synth_failures,cosim_failures,duplicate_strategy_attempts,recommendation_agreements,repeated_known_failure_strategies,advice_helpful,advice_misleading
shadow,shadow,,,v3d_fast_001,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_002,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_003,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_009,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_010,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_011,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_015,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_016,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_017,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_021,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_022,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
shadow,shadow,,,v3d_fast_028,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_001,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_002,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_003,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_009,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_010,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_011,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_015,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_016,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_017,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_021,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_022,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
guided,guided,,,v3d_fast_028,UNKNOWN,1,0,NOT_RUN,NOT_RUN,False,NOT_RUN,BATCH_OR_SLOT_NOT_RUN,0,0,0.0,0,0,0,0,0,0,0,0,0
